key_base64	source_base64	official_english_base64	translation_base64
anBu	5pel5pys6Kqe		7J2867O47Ja0
ZWxhcmE=	44Ko44Op44Op	RWxhcmE=	7JeY65286528
em9l	44K+44O844Kk	Wm9l	7KGw7J20
a2F0cmluYQ==	44Kr44OI44Oq44O844OK	S2F0cmluYQ==	7Lm07Yq466as64KY
d2FsdGVy	44Km44Kp44Or44K/44O8	V2FsdGVy	7JuU7YSw
bGlhbQ==	44Oq44Ki44Og	TGlhbQ==	66as7JWU
c2FuYQ==	44K144OK	U2FuYQ==	7IKs64KY
bm9yYQ==	44OO44O844Op	Tm9yYQ==	64W46528
a2F5YQ==	44Kr44Ok	S2F5YQ==	7Lm07JW8
a3VzaGFuYQ==	44Kv44K344Oj44OK	S3VzaGFuYQ==	7L+g7IOk64KY
aXZhbg==	44Kk44O044Kh44Oz	SXZhbg==	7J2067CY
bGFycnk=	44Op44Oq44O8	TGFycnk=	656Y66as
Y2hlc2Nh	44OB44Kn44K544Kr	Q2hlc2Nh	7LK07Iqk7Lm0
bmVyaXNzYQ==	44ON44Oq44OD44K1	TmVyaXNzYQ==	64Sk66as7IKs
ZmF0aGVy	54i2	RmF0aGVy	7JWE67KE7KeA
bW90aGVy	5q+N	TW90aGVy	7Ja066i464uI
c29u	5oGv5a2Q	U29u	7JWE65Ok
ZGF1Z2h0ZXI=	5aiY	RGF1Z2h0ZXI=	65S4
Z3JhbmRmYXRoZXI=	56WW54i2	R3JhbmRmYXRoZXI=	7ZWg7JWE67KE7KeA
Z3JhbmRtb3RoZXI=	56WW5q+N	R3JhbmRtb3RoZXI=	7ZWg66i464uI
bWFu	55S35oCn	TWFu	64Ko7ISx
d29tYW4=	5aWz5oCn	V29tYW4=	7Jes7ISx
Ym95	5bCR5bm0	Qm95	7IaM64WE
Z2lybA==	5bCR5aWz	R2lybA==	7IaM64WA
b2xkbWFu	6ICB5Lq6	T2xkIE1hbg==	64W47J24
b2xkd29tYW4=	6ICB5amG	T2xkIFdvbWFu	64W47YyM
ZG9jdG9y	5Yy75bir	RG9jdG9y	7J2Y7IKs
